sourceCode,Database Source Concept,OMOP Concept ID,OMOP Concept Name,OMOP Domain,OMOP Concept Class,Vocabulary
HERN 155,VENTRAL HERNIA:INCISIONAL,4188180,Ventral incisional hernia,Condition,Disorder,SNOMED
HERN156,VENTRAL HERNIA: PARASTOMAL,4342896,Parastomal hernia,Condition,Disorder,SNOMED
HERN157,VENTRAL HERNIA: EPIGASTRIC,4128844,Epigastric hernia,Condition,Disorder,SNOMED
HERN 158,VENTRAL HERNIA: UMBILICAL,4245842,Umbilical hernia,Condition,Disorder,SNOMED
HERN 159,VENTRAL HERNIA: SPIGELIAN,4159513,Spigelian hernia,Condition,Disorder,SNOMED
HERN 160,VENTRAL HERNIA: LUMBAR,4051166,Lumbar hernia,Condition,Disorder,SNOMED
HERN 161,VENTRAL HERNIA: DIASTASIS RECTI,4269062,Diastasis recti,Condition,Disorder,SNOMED
HERN 162,VENTRAL HERNIA: THORACOABDOMINAL,0,Unmapped,,,
HERN 163,INGUINAL HERNIA,4288544,Inguinal hernia,Condition,Disorder,SNOMED
HERN 164,FEMORAL HERNIA,4178874,Femoral hernia,Condition,Disorder,SNOMED
HERN 165,SPORTS HERNIA,0,Unmapped,,,
HERN 166,CHRONIC GROIN PAIN,0,Unmapped,,,
HERN 167,INDEPENDENT,45876353,Independent,Meas Value,Answer,LOINC
HERN 168,PARTIALLY DEPENDENT,0,Unmapped,,,
HERN 169,TOTALLY DEPENDENT,45877658,Total dependence,Meas Value,Answer,LOINC
HERN 170,UNKNOWN,45877986,Unknown,Meas Value,Answer,LOINC
HERN 171,MALIGNANT,192735,Malignant ascites,Condition,Disorder,SNOMED
HERN 172,HEPATIC,4342883,Hepatic ascites,Condition,Disorder,SNOMED
HERN 173,UNKNOWN,45877986,Unknown,Meas Value,Answer,LOINC
HERN 174,CURRENT SMOKER,36309332,Current smoker,Meas Value,Answer,LOINC
HERN 175,PRIOR SMOKER,45883458,Former smoker,Meas Value,Answer,LOINC
HERN 176,NEVER SMOKER,45879404,Never smoker,Meas Value,Answer,LOINC
HERN 177,MF1,0,Unmapped,,,
HERN 178,MF2,0,Unmapped,,,
HERN 179,MF3,0,Unmapped,,,
HERN 180,MF4,0,Unmapped,,,
HERN 181,MF5,0,Unmapped,,,
HERN 182,SUPERFICIAL,36308230,Superficial surgical site infection,Meas Value,Answer,LOINC
HERN 183,DEEP,36309030,Deep surgical site infection,Meas Value,Answer,LOINC
HERN 184,ORGAN SPACE,43530820,Organ-space surgical site infection,Condition,Disorder,SNOMED
HERN 185,ACTIVE INFECTION,0,Unmapped,,,
HERN 186,PRIOR INFECTION,0,Unmapped,,,
HERN 187,POSTERIOR RECTUS SHEATH,4091078,Posterior rectus sheath,Spec Anatomic Site,Body Structure,SNOMED
HERN 188,TRANSVERSUS ABDOMINIS: UNILATERAL,4074074,Entire transversus abdominis muscle,Spec Anatomic Site,Body Structure,SNOMED
HERN 189,TRANSVERSUS ABDOMINIS: BILATERAL,4074074,Entire transversus abdominis muscle,Spec Anatomic Site,Body Structure,SNOMED
HERN 190,EXTERNAL OBLIQUE: UNILATERAL,4105673,External oblique aponeurosis,Spec Anatomic Site,Body Structure,SNOMED
HERN 191,EXTERNAL OBLIQUE: BILATERAL,4105673,External oblique aponeurosis,Spec Anatomic Site,Body Structure,SNOMED
HERN 192,1,0,Unmapped,,,
HERN 193,2,0,Unmapped,,,
HERN 194,3,0,Unmapped,,,
HERN 195,4,0,Unmapped,,,
HERN 196,5 OR MORE,0,Unmapped,,,
HERN 197,LYING DOWN,4009887,Recumbent body position,Observation,Clinical Finding,SNOMED
HERN 198,BENDING OVER,0,Unmapped,,,
HERN 199,SITTING UP,4093539,Sitting upright,Observation,Clinical Finding,SNOMED
HERN 200,ACTIVITIES OF DAILY LIVING,3968670,Activities of daily living,Meas Value,Answer,LOINC
HERN 201,WALKING,4044711,Walking,Observation,Observable Entity,SNOMED
HERN 202,WALKING UPSTAIRS,45879474,Walking up a flight of stairs,Meas Value,Answer,LOINC
HERN 203,EXCERCISING,3968729,Exercising,Meas Value,Answer,LOINC
HERN 204,COUGHING/DEEP BREATHING,0,Unmapped,,,
HERN 205,ASA 1,4186042,American Society of Anesthesiologists physical status class 1,Condition,Clinical Finding,SNOMED
HERN 206,ASA 2,4184967,American Society of Anesthesiologists physical status class 2,Condition,Clinical Finding,SNOMED
HERN 207,ASA 3,4186043,American Society of Anesthesiologists physical status class 3,Condition,Clinical Finding,SNOMED
HERN 208,ASA 4,4211334,American Society of Anesthesiologists physical status class 4,Condition,Clinical Finding,SNOMED
HERN 209,ASA 5 ,4186044,American Society of Anesthesiologists physical status class 5,Condition,Clinical Finding,SNOMED
HERN 210,CLEAN,4303395,CDC Class I/Clean,Condition,Clinical Finding,SNOMED
HERN 211,CLEAN-CONTAMINATED,4167032,CDC Class II/Clean-contaminated,Condition,Clinical Finding,SNOMED
HERN 212,CONTAMINATED,4169635,CDC Class III/Contaminated,Condition,Clinical Finding,SNOMED
HERN 213,1,0,Unmapped,,,
HERN 214,2,0,Unmapped,,,
HERN 215,3,0,Unmapped,,,
HERN 216,GENERAL,4174669,Administration of general anesthetic,Procedure,Procedure,SNOMED
HERN 217,LOCAL,4303995,Local anesthesia,Procedure,Procedure,SNOMED
HERN 218,MONITORED ANESTHESIA CARE,4217901,MAC sedation,Procedure,Procedure,SNOMED
HERN 219,OTHER,45878142,Other,Meas Value,Answer,LOINC
HERN 220,SOFT TISSUE/PLASTICS,0,Unmapped,,,
HERN 221,HERNIA,4196678,Hernia repair,Procedure,Procedure,SNOMED
HERN 222,FOREGUT,0,Unmapped,,,
HERN 223,ENDOCRINE,4043020,Procedure on endocrine system,Procedure,Procedure,SNOMED
HERN 224,BARIATRIC,4326683,Bariatric operative procedure,Procedure,Procedure,SNOMED
HERN 225,ENTERIC FISTULA TAKEDOWN,0,Unmapped,,,
HERN 226,HEPATOPANCREATICOBILIARY (EXCLUDING CHOLECYSTECTOMY),0,Unmapped,,,
HERN 227,CHOLECYSTECTOMY,4242997,Cholecystectomy,Procedure,Procedure,SNOMED
HERN 228,VASCULAR,4148948,Vascular surgery procedure,Procedure,Procedure,SNOMED
HERN 229,SMALL INTESTINAL,0,Unmapped,,,
HERN 230,COLORECTAL,0,Unmapped,,,
HERN 231,OBSTETRIC/GYNECOLOGIC,0,Unmapped,,,
HERN 232,UROLOGIC,0,Unmapped,,,
HERN 233,HEMORRHAGE REQUIRING TRANSFUSION,36712677,Bleeding requiring transfusion,Condition,Clinical Finding,SNOMED
HERN 234,PERITONEAL ACCESS INJURY,0,Unmapped,,,
HERN 235,BOWEL INJURY,4054059,Injury of intestine,Condition,Disorder,SNOMED
HERN 236,LIVER INJURY,193355,Injury of liver,Condition,Disorder,SNOMED
HERN 237,GASTRIC INJURY,4053830,Injury of stomach,Condition,Disorder,SNOMED
HERN 238,MAJOR VASCULAR INJURY REQUIRING OPERATIVE INTERVENTION,0,Unmapped,,,
HERN 239,SPERMATIC CORD INJURY,4110295,Injury of spermatic cord,Condition,Disorder,SNOMED
HERN 240,TESTICULAR INJURY,4134156,Injury of testis,Condition,Disorder,SNOMED
HERN 241,NONE,45878582,None,Meas Value,Answer,LOINC
HERN 242,PARTIAL,4116993,Partial,Meas Value,Qualifier Value,SNOMED
HERN 243,COMPLETE,4112431,Complete,Meas Value,Qualifier Value,SNOMED
